Threads,exec_time,speedup
1S, 0.017388, 1.000000
1, 0.018755, .927112
2, 0.012635, 1.376177
3, 0.013555, 1.282773
4, 0.011457, 1.517674
5, 0.013905, 1.250485
6, 0.011589, 1.500388
7, 0.014063, 1.236436
8, 0.014464, 1.202157
