Threads,exec_time,speedup
1S, 8.584851, 1.000000
1, 8.364280, 1.026370
2, 4.824998, 1.779244
3, 3.384495, 2.536523
4, 2.646175, 3.244249
5, 2.873384, 2.987714
6, 2.820331, 3.043916
7, 3.059140, 2.806295
8, 3.189034, 2.691991
