Threads,exec_time,speedup
1S, 5.048796, 1.000000
1, 4.996237, 1.010519
2, 2.787869, 1.810987
3, 1.997244, 2.527881
4, 1.559853, 3.236712
5, 1.767369, 2.856673
6, 1.828699, 2.760867
7, 1.911535, 2.641226
8, 1.899922, 2.657370
