Threads,exec_time,speedup
1S, 1.013824, 1.000000
1, 1.039460, .975337
2, 0.629625, 1.610202
3, 0.434036, 2.335806
4, 0.390771, 2.594419
5, 0.358716, 2.826258
6, 0.429692, 2.359420
7, 0.470836, 2.153242
8, 0.439034, 2.309215
