Threads,exec_time,speedup
1S, 0.080726, 1.000000
1, 0.070707, 1.141697
2, 0.046532, 1.734849
3, 0.035599, 2.267647
4, 0.026484, 3.048104
5, 0.031905, 2.530199
6, 0.032082, 2.516239
7, 0.033788, 2.389191
8, 0.037443, 2.155970
