Threads,exec_time,speedup
1S, 0.292957, 1.000000
1, 0.289356, 1.012444
2, 0.190561, 1.537339
3, 0.151429, 1.934616
4, 0.102648, 2.853996
5, 0.113073, 2.590866
6, 0.167659, 1.747338
7, 0.155586, 1.882926
8, 0.132487, 2.211213
