Threads,exec_time,speedup
1S, 0.053549, 1.000000
1, 0.053295, 1.004765
2, 0.031770, 1.685520
3, 0.021010, 2.548738
4, 0.019087, 2.805522
5, 0.018280, 2.929376
6, 0.038518, 1.390233
7, 0.021314, 2.512386
8, 0.027437, 1.951707
