Threads,exec_time,speedup
1S, 0.020674, 1.000000
1, 0.020998, .984569
2, 0.015239, 1.356650
3, 0.015313, 1.350094
4, 0.013856, 1.492061
5, 0.015434, 1.339510
6, 0.015281, 1.352921
7, 0.016259, 1.271541
8, 0.019781, 1.045144
