Threads,exec_time,speedup
1S, 0.593593, 1.000000
1, 0.588077, 1.009379
2, 0.374049, 1.586939
3, 0.293080, 2.025361
4, 0.248123, 2.392333
5, 0.236827, 2.506441
6, 0.224619, 2.642666
7, 0.315985, 1.878548
8, 0.284265, 2.088167
