Threads,exec_time,speedup
1S, 106.209397, 1.000000
1, 102.829205, 1.032871
2, 59.952408, 1.771561
3, 46.377004, 2.290130
4, 34.866805, 3.046146
5, 33.925036, 3.130708
6, 33.458570, 3.174355
7, 34.218062, 3.103898
8, 36.630434, 2.899485
