Threads,exec_time,speedup
1S, 0.029513, 1.000000
1, 0.031565, .934991
2, 0.021357, 1.381888
3, 0.017501, 1.686360
4, 0.012889, 2.289781
5, 0.014215, 2.076187
6, 0.022105, 1.335127
7, 0.016851, 1.751409
8, 0.018237, 1.618303
